bin_start,bin_end,bin_centre
13-Feb-2006,23-Jul-2006,04-May-2006
23-Jul-2006,08-Apr-2007,29-Nov-2006
08-Apr-2007,23-Dec-2007,15-Aug-2007
23-Dec-2007,30-Apr-2008,25-Feb-2008
30-Apr-2008,14-Jan-2009,06-Sep-2008
14-Jan-2009,30-Sep-2009,23-May-2009
30-Sep-2009,12-Apr-2010,05-Jan-2010
12-Apr-2010,19-Aug-2010,16-Jun-2010
19-Aug-2010,27-Dec-2010,23-Oct-2010
27-Dec-2010,05-May-2011,01-Mar-2011
05-May-2011,19-Jan-2012,12-Sep-2011
19-Jan-2012,31-Jul-2012,25-Apr-2012
31-Jul-2012,08-Dec-2012,04-Oct-2012
08-Dec-2012,16-Apr-2013,10-Feb-2013
16-Apr-2013,23-Aug-2013,20-Jun-2013
23-Aug-2013,31-Dec-2013,27-Oct-2013
31-Dec-2013,09-May-2014,06-Mar-2014
09-May-2014,16-Sep-2014,13-Jul-2014
16-Sep-2014,23-Jan-2015,19-Nov-2014
23-Jan-2015,24-Jun-2016,09-Oct-2015
24-Jun-2016,04-Jan-2017,29-Sep-2016
04-Jan-2017,17-Jul-2017,11-Apr-2017
17-Jul-2017,02-Apr-2018,23-Nov-2017
02-Apr-2018,13-Oct-2018,08-Jul-2018
13-Oct-2018,19-Feb-2019,17-Dec-2018
19-Feb-2019,29-Jun-2019,25-Apr-2019
29-Jun-2019,09-Jan-2020,04-Oct-2019
09-Jan-2020,21-Jul-2020,15-Apr-2020
21-Jul-2020,06-Apr-2021,28-Nov-2020
06-Apr-2021,21-Dec-2021,13-Aug-2021
21-Dec-2021,29-Apr-2022,24-Feb-2022
29-Apr-2022,13-Jan-2023,06-Sep-2022
13-Jan-2023,22-Jun-2023,03-Apr-2023
